[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s5 | unif= 0.876 hi= 0.985 lo= 0.827 | PARTIAL (104s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s7 | unif= 0.787 hi= 0.880 lo= 0.769 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s8 | unif= 0.766 hi= 0.817 lo= 0.753 | PARTIAL (104s)
[dyck_boundary] a=3.50 wd=1.10 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s1 | unif= 0.772 hi= 0.822 lo= 0.755 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s3 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (104s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s5 | unif= 0.724 hi= 0.749 lo= 0.719 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s6 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s8 | unif= 0.785 hi= 0.841 lo= 0.769 | PARTIAL (103s)
[dyck_boundary] a=3.50 wd=1.30 k=0 inj=uniform  s9 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s3 | unif= 0.980 hi= 0.999 lo= 0.962 | GROK (104s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s4 | unif= 0.800 hi= 0.894 lo= 0.768 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s7 | unif= 0.881 hi= 0.976 lo= 0.829 | PARTIAL (102s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s8 | unif= 0.876 hi= 0.994 lo= 0.818 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.30 k=0 inj=uniform  s9 | unif= 0.999 hi= 1.000 lo= 0.998 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s0 | unif= 0.908 hi= 0.973 lo= 0.876 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
