[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s1 | unif= 0.376 hi= 0.993 | TRAP
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s2 | unif= 0.797 hi= 0.994 | PARTIAL
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s3 | unif= 0.261 hi= 0.962 | TRAP
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s4 | unif= 0.768 hi= 0.998 | PARTIAL
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s5 | unif= 0.560 hi= 0.969 | PARTIAL
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s6 | unif= 0.356 hi= 0.946 | TRAP
[m9_densify] a=2.55 wd=0.145 k=0 inj=unif b=128 B=60k s7 | unif= 0.222 hi= 0.859 | CRUSH
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s0 | unif= 0.891 hi= 0.999 | PARTIAL
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s1 | unif= 0.866 hi= 1.000 | PARTIAL
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s2 | unif= 0.960 hi= 0.997 | GROK
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s3 | unif= 0.872 hi= 0.998 | PARTIAL
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s4 | unif= 0.839 hi= 0.999 | PARTIAL
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s5 | unif= 0.801 hi= 1.000 | PARTIAL
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s6 | unif= 0.813 hi= 1.000 | PARTIAL
[m9_densify] a=2.65 wd=0.072 k=0 inj=unif b=128 B=60k s7 | unif= 0.719 hi= 0.999 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s0 | unif= 0.641 hi= 0.994 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s1 | unif= 0.709 hi= 0.999 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s2 | unif= 0.539 hi= 0.984 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s3 | unif= 0.596 hi= 0.990 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s4 | unif= 0.771 hi= 0.992 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s5 | unif= 0.735 hi= 0.998 | PARTIAL
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s6 | unif= 0.911 hi= 0.997 | GROK
[m9_densify] a=2.65 wd=0.103 k=0 inj=unif b=128 B=60k s7 | unif= 0.816 hi= 0.998 | PARTIAL
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s0 | unif= 0.473 hi= 0.978 | TRAP
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s1 | unif= 0.459 hi= 0.996 | TRAP
